Genome	P102_notmapped.1.fq Relative Abundance (%)	P107_notmapped.1.fq Relative Abundance (%)	P143_notmapped.1.fq Relative Abundance (%)	P149_notmapped.1.fq Relative Abundance (%)	P14_notmapped.1.fq Relative Abundance (%)	P167_notmapped.1.fq Relative Abundance (%)	P178_notmapped.1.fq Relative Abundance (%)	P179_notmapped.1.fq Relative Abundance (%)	P186_notmapped.1.fq Relative Abundance (%)	P190_notmapped.1.fq Relative Abundance (%)	P191_notmapped.1.fq Relative Abundance (%)	P196_notmapped.1.fq Relative Abundance (%)	P212_notmapped.1.fq Relative Abundance (%)	P225_notmapped.1.fq Relative Abundance (%)	P261_notmapped.1.fq Relative Abundance (%)	P265_notmapped.1.fq Relative Abundance (%)	P266_notmapped.1.fq Relative Abundance (%)	P276_notmapped.1.fq Relative Abundance (%)	P291_notmapped.1.fq Relative Abundance (%)	P294_notmapped.1.fq Relative Abundance (%)	P295_notmapped.1.fq Relative Abundance (%)	P301_notmapped.1.fq Relative Abundance (%)	P304_notmapped.1.fq Relative Abundance (%)	P41_notmapped.1.fq Relative Abundance (%)	P43_notmapped.1.fq Relative Abundance (%)	P46_notmapped.1.fq Relative Abundance (%)	P47_notmapped.1.fq Relative Abundance (%)	P74_notmapped.1.fq Relative Abundance (%)	P75_notmapped.1.fq Relative Abundance (%)	P82_notmapped.1.fq Relative Abundance (%)	P84_notmapped.1.fq Relative Abundance (%)	P9_notmapped.1.fq Relative Abundance (%)
unmapped	86.643776	91.04793	89.73872	77.63338	78.56896	94.6489	88.82167	78.50971	83.558495	75.57323	78.24284	89.39433	87.99024	91.98609	76.31222	94.99616	96.31247	93.40215	73.18673	87.55519	77.969635	80.83287	76.41382	84.838974	80.291626	90.74711	89.393654	96.02066	91.368904	71.75184	93.06015	87.00342
metabat.40	0.005200072	0.0037094243	0.019990182	0.19585583	0.08092302	0.004812014	0.002298113	0.07620811	0.0023056685	0.0037397365	0.0020512678	0.016084792	0.0095337685	0.006424788	0.18946604	0.003805076	0.0041820672	0.010958221	0.04043501	0.051904824	0.032414295	0.004439939	0.13181965	0.0044508236	0.008026095	0.012903711	0.002408673	0.0017325508	0.0020968851	0.113216154	0.0012604857	0.002198651
metabat.386	0.21597393	0.027351035	0.07227718	0.07407956	10.503467	0.049596876	0.09073543	0.8990367	0.046538267	0.011604908	0.0530233	0.19900613	0.10697957	0.15607016	2.8277955	0.015808547	0.055521145	0.13950804	7.2343087	0.14762273	2.0359495	6.452167	1.2249172	0.075907126	0.32435054	0.45944414	0.021202657	0.07949217	0.04239014	0.057896804	0.09115903	0.011304133
metabat.245	0.09346149	0.08738948	0.85585725	0.47382173	0.082391426	0.009792647	0.0027730046	0.062570594	0.041696172	0.0052191042	0.008527356	0.012764506	0.3300023	0.04748455	2.1924548	0.003930097	0.07778632	0.068220265	0.059415154	0.0123663945	1.5782481	0.67466944	0.11860678	0.015523531	0.0070896177	0.6209647	0.005097543	0.0020179392	0.04636102	0.0048845	0.018421099	0.03295185
metabat.478	0.011940495	0.007323819	0.0039036823	0.010673632	0.0137825385	0.0027665088	0.01346736	0.014872396	0.012027687	0.002869042	0.011063266	0.009040719	0.0072578103	0.041503027	0.011799365	0.0035748482	0.012906653	0.0062445104	0.009911058	0.010797828	0.01921981	0.010118276	0.19467321	0.009560607	0.009500986	1.2610612	0.0061191777	0.0038320443	0.004384003	0.009470899	0.011748953	0.007406252
metabat.230	0.009512319	0.018257478	0.054927256	0.0059313485	0.02221141	0.0009814765	0.027477512	0.047710776	0.005495484	0.065462805	0.039247133	0.012180005	0.054408766	0.007825282	0.104765676	0.0015418163	0.0018495468	0.0037516158	0.0061918297	0.024520053	0.43388808	0.0032396666	0.032048065	0.015322356	0.0142658185	0.004263067	0.0055186837	0.0027263365	0.0042889384	0.017916705	0.0045598377	0.0062358105
metabat.321	0.0066138012	0.0006697438	0.0007036318	0.035845324	0.003322512	0.0015411262	0.0122189475	0.0072387788	0.004017403	0.0021323378	0.0051767267	0.004678877	0.006597624	0.0011572876	0.008733907	0.00093930174	0.0011476062	0.0056563467	0.023122711	0.2125075	0.004905477	0.006546091	0.0041907006	0.005335242	0.0067275707	0.0014436803	0.0019440242	0.0018880469	0.0029872057	0.013500333	0.0010538375	0.004242183
metabat.218	0.017551133	0.0014924429	0.0027255174	0.11712226	0.0048967507	0.0045707426	0.00047183447	0.010685643	0.0027892222	0.002274832	0.00087242597	0.010499446	0.0098357	0.0007430369	0.14752434	0.0027247851	0.0022533257	0.0027860913	0.020532887	0.018898482	0.0013453709	0.0023991896	0.0034420956	0.0044034715	0.0018124463	0.006700022	0.00093676656	0.00065567263	0.0022250016	0.08602015	0.0008632819	0.0018929013
metabat.19	0.01061349	0.0375591	0.0024844331	0.0037026294	0.003692765	0.0006200675	0.015834957	0.0061120116	0.009834254	0.029435359	0.01800965	0.0055546267	0.00599782	0.008485455	0.004012523	0.0057259514	0.0051564523	0.0009734276	0.0030962708	0.006483647	0.005068243	0.0035219071	0.007510532	0.0178314	0.0045152702	0.0043154983	0.019628229	0.03698099	0.54588294	0.0039390125	0.013197803	0.03454139
metabat.546	0.057964586	0.013740831	0.09405795	0.13222899	0.2408221	0.0069074086	0.009606105	0.064581275	0.019470826	0.00075880723	0.0034476514	0.06218554	0.04131846	0.073137835	0.3774349	0.0029416766	0.01615692	0.035542965	0.6256407	0.04428097	0.40280735	1.0454595	0.20524785	0.033556722	0.09188602	0.11865602	0.004124148	0.0031958658	0.01143997	0.021959117	0.0667015	0.0039738277
