label,Domain,Phylum,Class,Order,Family,Genus,Species,Taxonomy,Source
metabat.384,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriales,g__Coriobacteriales,s__Coriobacteriales,Coriobacteriales (metabat.384),study
metabat.221,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Anaerovoracaceae,s__Anaerovoracaceae,Anaerovoracaceae (metabat.221),study
metabat.161,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Anaerovoracaceae,s__Anaerovoracaceae,Anaerovoracaceae (metabat.161),study
metabat.574,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobiaceae,s__Atopobiaceae,Atopobiaceae (metabat.574),study
metabat.549,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderiaceae,s__Burkholderiaceae,Burkholderiaceae (metabat.549),study
metabat.352,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__LachnospiralesCAG-274,g__LachnospiralesCAG-274,s__LachnospiralesCAG-274,LachnospiralesCAG-274 (metabat.352),study
metabat.395,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__ChristensenellalesCAG-74,g__ChristensenellalesCAG-74,s__ChristensenellalesCAG-74,ChristensenellalesCAG-74 (metabat.395),study
metabat.264,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__ChristensenellalesCAG-74,g__ChristensenellalesCAG-74,s__ChristensenellalesCAG-74,ChristensenellalesCAG-74 (metabat.264),study
metabat.202,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Eggerthellaceae,s__Eggerthellaceae,Eggerthellaceae (metabat.202),study
metabat.144,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridiaceae,s__Erysipelatoclostridiaceae,Erysipelatoclostridiaceae (metabat.144),study
metabat.222,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.222),study
metabat.322,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.322),study
metabat.152,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.152),study
metabat.392,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.392),study
metabat.178,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.178),study
metabat.522,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.522),study
metabat.51,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae,s__Erysipelotrichaceae,Erysipelotrichaceae (metabat.51),study
metabat.249,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__Helcococcaceae,s__Helcococcaceae,Helcococcaceae (metabat.249),study
metabat.208,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__Helcococcaceae,s__Helcococcaceae,Helcococcaceae (metabat.208),study
metabat.557,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae,s__Lachnospiraceae,Lachnospiraceae (metabat.557),study
metabat.290,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae,s__Lachnospiraceae,Lachnospiraceae (metabat.290),study
metabat.44,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasmoidaceae,s__Mycoplasmoidaceae,Mycoplasmoidaceae (metabat.44),study
metabat.478,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasmoidaceae,s__Mycoplasmoidaceae,Mycoplasmoidaceae (metabat.478),study
metabat.387,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasmoidaceae,s__Mycoplasmoidaceae,Mycoplasmoidaceae (metabat.387),study
metabat.554,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasmoidaceae,s__Mycoplasmoidaceae,Mycoplasmoidaceae (metabat.554),study
metabat.575,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasmoidaceae,s__Mycoplasmoidaceae,Mycoplasmoidaceae (metabat.575),study
metabat.399,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillospiraceae,s__Oscillospiraceae,Oscillospiraceae (metabat.399),study
metabat.389,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillospiraceae,s__Oscillospiraceae,Oscillospiraceae (metabat.389),study
metabat.40,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillospiraceae,s__Oscillospiraceae,Oscillospiraceae (metabat.40),study
metabat.58,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillospiraceae,s__Oscillospiraceae,Oscillospiraceae (metabat.58),study
metabat.241,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilaceae,s__Peptoniphilaceae,Peptoniphilaceae (metabat.241),study
metabat.23,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae,g__Planococcaceae,s__Planococcaceae,Planococcaceae (metabat.23),study
metabat.412,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcaceae,s__Ruminococcaceae,Ruminococcaceae (metabat.412),study
