P9	P14	P41	P43	P46	P47	P74	P75	P82	P84	P102	P107	P167	P178	P179	P186	P190	P191	P196	P212	P225	P261	P265	P266	P276	P291	P294	P295	P301	P304	P143	P149	Domain	Phylum	Class	Order	Family	Genus	Species
16	0	2	1	0	10	0	8	0	2	3	0	13	0	0	1	6	1	0	0	0	0	1	4	2	0	0	1	3	2	1	1	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
9	0	3	0	2	7	3	0	0	1	1	1	4	2	1	1	10	0	0	1	2	1	2	0	1	0	1	0	0	0	1	2	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sp. 7A
10	14	65	5	6	7	2	23	14	1	40	40	4	2	30	6	17	13	13	2	8	17	1	4	4	18	13	9	2	7	6	56	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
5	0	16	2	2	3	0	2	3	1	4	6	1	1	1	0	10	7	1	6	7	1	4	0	4	0	20	3	26	2	0	1	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus
45	14	9	7	1	2	4	15	10	2	7	2	35	1	31	6	14	16	1	4	2	36	46	12	6	11	12	109	68	8	3	44	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus
6	25	6	4	1	3	1	1	2	2	10	1	3	4	0	1	12	9	2	2	2	13	1	0	3	6	14	1	5	9	1	10	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus
10	8	32	70	6	39	3	7	62	11	23	14	2	23	26	2	26	81	46	16	12	77	1	2	2	65	39	16	5	138	48	26	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus
8	13	15	34	3	55	2	15	46	65	296	17	26	12	55	4	41	17	15	7	32	19	0	1	26	26	42	11	10	48	7	43	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus acetivorans
14	33	10	3	5	10	3	22	0	6	16	9	17	7	1	1	22	8	3	4	5	5	24	3	1	24	9	2	9	6	13	5	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus ahangari
27	36	27	71	19	33	3	13	307	43	21	93	10	49	80	6	6	60	22	16	22	78	14	6	9	150	48	151	48	77	25	83	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
